exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,success_rate,violation_rate,mean_ep_len,fail_rate,mean_energy,total_timesteps,actuator_dr_range,goal_x_min,goal_x_max,goal_tolerance,fault_goal_x_min,fault_goal_x_max,fault_goal_tolerance,friction_range,safety_max_pitch,safety_max_vspeed,safety_terminate,fault_strength,fault_indices,fault_start_step
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.7_t150,100,236.4750241779935,27.287355090103425,1.0,0.0,149.72,0.0,99.19153324626649,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(0,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.5_t0,100,244.25025962895154,33.64551976990199,1.0,0.0,154.73,0.0,108.48984112902923,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.5_t50,100,237.74248235300686,29.996554438399045,1.0,0.0,150.17,0.0,101.84296614814929,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.5_t150,100,236.48089678619826,27.291319274704207,1.0,0.0,149.72,0.0,99.27661027526511,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.5,"(0,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.3_t0,100,240.05352136005772,27.923198790136173,1.0,0.0,152.43,0.0,114.16893384147697,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.3_t50,100,236.43830791114593,25.791694739463573,1.0,0.0,149.48,0.0,106.7831692801169,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a0_s0.3_t150,100,236.514537855798,27.282288330092896,1.0,0.0,149.73,0.0,99.34598210329976,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.3,"(0,)",150
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.7_t0,100,236.70330469378257,28.095875320463207,1.0,0.0,149.6,0.0,101.2544838945249,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",0
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.7_t50,100,236.72768053734876,28.076747359035302,1.0,0.0,149.63,0.0,101.90387695252925,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",50
MSR_fast_noRes,0,target,eval_fault_goal,a1_s0.7_t150,100,236.46602719389065,27.27733722155113,1.0,0.0,149.72,0.0,99.344581656933,500000,0.0,1.5,3.0,0.6,6.0,10.0,0.45,0.2,0.7,6.0,False,0.7,"(1,)",150
