exp,seed,domain,mode,fault_tag,n_episodes,mean_return,std_return,total_timesteps,actuator_dr_range,fault_strength,fault_indices,fault_start_step
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.5_t0,20,317.2734880500746,4.511833964759517,800000,0.2,0.5,"(2,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.5_t50,20,319.8468007102116,2.476611630379141,800000,0.2,0.5,"(2,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.5_t150,20,750.24178500026,14.013780227212846,800000,0.2,0.5,"(2,)",150
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.3_t0,20,233.51883039174726,1.809347881676222,800000,0.2,0.3,"(2,)",0
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.3_t50,20,240.4021291252214,1.6144173361697636,800000,0.2,0.3,"(2,)",50
resilient_actuatorDR_r0p20,0,target,eval_fault,a2_s0.3_t150,20,701.5828928448034,9.600961268859459,800000,0.2,0.3,"(2,)",150
resilient_actuatorDR_r0p20,1,target,eval,,20,915.9727290793596,60.017484034431725,800000,0.2,,,
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.7_t0,20,935.7523379975157,42.4570331182177,800000,0.2,0.7,"(0,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.7_t50,20,923.6432016133804,54.820420334566606,800000,0.2,0.7,"(0,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.7_t150,20,916.1345501922918,59.07920029240595,800000,0.2,0.7,"(0,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.5_t0,20,908.7318306361718,70.64677072418414,800000,0.2,0.5,"(0,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.5_t50,20,866.5917432710976,87.09601149824641,800000,0.2,0.5,"(0,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.5_t150,20,861.5799425733788,89.40744835039729,800000,0.2,0.5,"(0,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.3_t0,20,808.3044482387902,93.50617581577235,800000,0.2,0.3,"(0,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.3_t50,20,726.1727951391098,2.105522432999517,800000,0.2,0.3,"(0,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a0_s0.3_t150,20,824.6693401778969,96.23698924799935,800000,0.2,0.3,"(0,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.7_t0,20,927.1651554519005,34.866318626208624,800000,0.2,0.7,"(1,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.7_t50,20,930.3497051117587,32.4497229479879,800000,0.2,0.7,"(1,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.7_t150,20,937.5929709506238,9.720976422523421,800000,0.2,0.7,"(1,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.5_t0,20,933.7186045314731,4.6967409109028075,800000,0.2,0.5,"(1,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.5_t50,20,933.8308951034112,3.4470922992001904,800000,0.2,0.5,"(1,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.5_t150,20,917.8693301867268,45.20909986127035,800000,0.2,0.5,"(1,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.3_t0,20,951.2598407963327,11.380042324109422,800000,0.2,0.3,"(1,)",0
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.3_t50,20,952.134984968794,12.473771729913391,800000,0.2,0.3,"(1,)",50
resilient_actuatorDR_r0p20,1,target,eval_fault,a1_s0.3_t150,20,923.7545716864139,14.751576374730849,800000,0.2,0.3,"(1,)",150
resilient_actuatorDR_r0p20,1,target,eval_fault,a2_s0.7_t0,20,476.4650306724936,6.780522925138976,800000,0.2,0.7,"(2,)",0
