timesteps,is_success,time_to_goal,violations,fell
41328,0,-1,1,0
41352,0,-1,1,0
41490,0,-1,0,0
41532,0,-1,4,1
41574,0,-1,4,1
41748,0,-1,9,0
41808,0,-1,0,0
41922,0,-1,0,0
42024,0,-1,1,0
42042,0,-1,0,0
42060,0,-1,0,0
42108,0,-1,0,0
42372,0,-1,9,1
42462,1,67,7,0
42564,0,-1,0,0
42582,0,-1,4,0
42852,0,-1,0,0
43212,0,-1,1,0
43242,0,-1,1,0
43344,0,-1,5,1
43434,0,-1,2,0
43476,0,-1,7,1
43578,0,-1,0,0
43590,0,-1,5,0
43650,0,-1,0,0
43686,0,-1,1,0
43752,0,-1,4,0
43866,0,-1,9,0
44016,0,-1,3,1
44016,0,-1,3,1
44208,0,-1,0,0
44220,0,-1,6,0
44226,0,-1,4,0
44334,0,-1,0,0
44424,0,-1,3,0
44436,0,-1,0,0
44502,0,-1,1,0
44598,0,-1,2,0
44646,0,-1,0,0
44712,0,-1,1,0
44718,0,-1,0,0
44916,0,-1,5,0
45042,0,-1,1,0
45066,0,-1,6,1
45108,1,65,0,0
45144,0,-1,0,0
45270,0,-1,0,0
45390,0,-1,0,0
45516,0,-1,0,0
45516,0,-1,8,1
45654,0,-1,0,0
45714,0,-1,5,1
45714,0,-1,0,0
45762,0,-1,0,0
45870,0,-1,5,1
46086,0,-1,0,0
46176,0,-1,4,1
46308,0,-1,8,0
46326,0,-1,5,0
46338,0,-1,0,0
46488,0,-1,0,0
46530,0,-1,0,0
46608,0,-1,0,0
46686,0,-1,5,1
46896,0,-1,0,0
46968,0,-1,6,1
46998,0,-1,2,0
47034,0,-1,2,0
47076,0,-1,0,0
47358,0,-1,3,0
47472,0,-1,5,1
47502,0,-1,1,0
47562,0,-1,3,0
47658,0,-1,3,0
47676,0,-1,7,1
47676,0,-1,0,0
47850,0,-1,2,0
47874,0,-1,0,0
47880,0,-1,0,0
48204,0,-1,5,0
48378,0,-1,7,0
48384,0,-1,17,1
48390,0,-1,0,0
48414,0,-1,3,0
48636,0,-1,2,0
48648,0,-1,0,0
48714,0,-1,0,0
48720,0,-1,3,0
48732,0,-1,2,0
48798,0,-1,12,1
48888,0,-1,0,0
49086,0,-1,1,0
49092,0,-1,0,0
49158,0,-1,0,0
49326,0,-1,5,1
49368,0,-1,2,0
49674,0,-1,0,0
49680,0,-1,2,0
49830,0,-1,7,0
49920,0,-1,0,0
49998,0,-1,0,0
54066,0,-1,6,0
54138,0,-1,7,1
54384,0,-1,0,0
54852,0,-1,11,1
55326,0,-1,0,0
55446,0,-1,1,0
55974,0,-1,30,1
55998,0,-1,0,0
56004,0,-1,14,1
56070,0,-1,4,0
56502,0,-1,0,0
56754,0,-1,0,0
57774,0,-1,0,0
58476,0,-1,6,0
58866,0,-1,0,0
59982,0,-1,9,0
61620,0,-1,5,0
61698,0,-1,13,1
62004,0,-1,0,0
63774,0,-1,0,0
64506,0,-1,8,1
64542,0,-1,8,1
64866,0,-1,0,0
64968,0,-1,10,1
65226,0,-1,7,1
65850,0,-1,6,1
66204,0,-1,4,1
66648,0,-1,0,0
66738,0,-1,5,1
66828,0,-1,0,0
67050,1,347,0,0
67344,0,-1,1,0
67698,0,-1,0,0
67788,0,-1,12,1
68100,0,-1,6,1
68148,0,-1,8,1
68202,0,-1,6,1
68562,0,-1,3,0
68700,0,-1,4,1
69150,0,-1,0,0
69396,0,-1,0,0
69702,0,-1,0,0
69762,0,-1,0,0
69792,0,-1,6,1
69882,0,-1,0,0
70026,0,-1,5,1
70386,0,-1,16,0
70560,0,-1,7,1
